respondent_id,construct_1,construct_2,construct_3,construct_4,construct_5,construct_6,construct_7,construct_8,construct_9,construct_10,construct_11,construct_12,construct_13,construct_14,construct_15,construct_16,construct_17,construct_18,construct_19,construct_20,construct_21,construct_22,construct_23,construct_24,construct_25,construct_26,construct_27,construct_28,construct_29,construct_30,construct_31,construct_32,industry,region,continent,employment_type,company_name
0046a5e5,4.33554054054054,4.466081081081081,3.101689189189189,4.449831081081081,3.853918918918919,4.388277027027027,4.5253716216216215,3.908209459459459,5.402263513513513,5.228243243243243,4.509932432432433,4.0162162162162165,4.913614864864865,4.196925675675676,3.44152027027027,4.313547297297297,3.298783783783784,2.8372972972972974,5.531891891891892,4.338716216216216,5.1475,4.299121621621621,3.300743243243243,4.775304054054054,4.583851351351351,4.16875,3.873412162162162,4.382972972972973,4.543412162162162,4.2339864864864865,6.088175675675675,6.914425675675676,Government,India,North America,Staff,global-solutions
113b34f0,4.05112582781457,4.557417218543046,2.927119205298013,4.261026490066225,3.7569536423841057,4.095430463576159,4.572450331125828,3.779602649006623,5.05364238410596,5.065198675496689,4.149668874172185,3.766920529801324,4.806688741721854,4.123476821192053,3.400331125827815,4.143278145695364,3.1971523178807946,2.7360596026490067,5.304271523178809,4.2094370860927155,4.848046357615893,4.0161920529801325,3.3153973509933774,4.7901655629139075,4.369503311258278,4.184370860927152,3.5788741721854302,4.340496688741721,4.393609271523179,3.919403973509934,5.620033112582782,6.751456953642384,Manufacturing,France,Asia,IT & Data,tech-innovations
26d0d233,4.08608832807571,4.4063722397476335,2.8441640378548896,4.267823343848581,3.5710094637223975,4.12397476340694,4.292712933753943,3.6437539432176655,5.048643533123029,4.912050473186119,4.355678233438486,3.803059936908517,4.654605678233438,3.8694006309148263,3.3732807570977914,4.187034700315457,3.141608832807571,2.710630914826498,5.277665615141956,4.189716088328076,4.955425867507886,3.8921766561514195,3.1721135646687695,4.544668769716089,4.40608832807571,3.947255520504732,3.6415772870662466,4.126309148264984,4.337066246056782,3.9981388012618297,5.859053627760252,6.714952681388012,Government,India,North America,Strategy & Policy,global-solutions
2c7b1ffe,3.9852962962962963,4.797481481481482,2.902481481481481,4.4237777777777785,3.754851851851852,4.134518518518519,4.556666666666667,3.7465185185185184,5.211962962962963,5.084814814814815,4.2882592592592585,3.863,4.863074074074074,4.2406296296296295,3.3393333333333333,4.355444444444444,3.312185185185185,2.671333333333333,5.388925925925926,4.511333333333333,5.145037037037038,3.8662592592592597,3.3524814814814814,4.792407407407407,4.480074074074074,4.188962962962963,3.7597407407407406,4.446407407407407,4.414703703703704,3.9684074074074074,5.946481481481482,6.837851851851852,Financial Services,Netherlands,Europe,IT & Data,global-solutions
2d1eb579,4.022124183006536,4.637058823529412,2.8741830065359477,4.370490196078432,3.5040522875816995,4.252516339869281,4.43343137254902,3.5998692810457515,5.02186274509804,4.931013071895425,4.285294117647059,3.762156862745098,4.824313725490196,3.9374183006535945,3.407418300653595,4.230098039215687,3.159313725490196,2.710686274509804,5.248758169934641,4.259019607843137,5.0141503267973855,3.8829738562091505,3.2287254901960782,4.860065359477124,4.401470588235294,4.063039215686274,3.79562091503268,4.323333333333333,4.342549019607843,4.020098039215687,5.974673202614379,6.688071895424836,Technology,United States,Africa,Leadership,acme-corp
318a6f0c,4.027260726072607,4.627194719471947,2.928910891089109,4.4911551155115506,3.7331683168316836,4.173234323432343,4.3560396039603955,3.9186798679867985,5.414257425742575,5.106303630363036,4.425280528052805,3.895775577557756,4.966435643564356,4.220693069306931,3.3593069306930694,4.2766006600660065,3.267755775577558,2.674257425742574,5.485775577557756,4.369009900990099,5.167491749174918,3.9562046204620462,3.2516831683168315,4.803597359735973,4.467689768976898,4.135082508250825,3.9186138613861385,4.457293729372937,4.441518151815181,4.009141914191419,6.128811881188119,6.996204620462046,Technology,United States,Africa,Leadership,tech-innovations
4942ce7b,3.968996415770609,4.640250896057348,2.939068100358423,4.149247311827957,3.5867025089605735,3.9098207885304657,4.43089605734767,3.7655197132616487,5.05089605734767,5.084982078853047,4.232903225806452,3.9727956989247315,4.6725448028673835,4.106487455197133,3.166810035842294,4.268028673835126,3.1754121863799285,2.5385663082437278,5.287168458781362,4.395232974910394,4.7575985663082445,3.660322580645161,3.16752688172043,4.639964157706093,4.298064516129033,4.0532258064516125,3.416989247311828,4.2572401433691756,4.3153763440860216,3.8546594982078854,5.656308243727598,6.737025089605735,Financial Services,Netherlands,Europe,IT & Data,acme-corp
625f4354,4.015348837209302,4.445049833887043,2.7943189368770764,4.38641196013289,3.6607308970099672,4.0712292358803985,4.365083056478405,3.757275747508306,5.346179401993355,5.264651162790698,4.339568106312292,3.7875415282392026,4.853023255813953,4.06641196013289,3.2037873754152826,4.121461794019933,3.106212624584718,2.6291029900332226,5.465647840531561,4.481528239202658,5.1168438538205985,3.880996677740864,3.261395348837209,4.6600332225913625,4.461960132890365,3.9848504983388704,3.7874750830564783,4.352225913621262,4.23953488372093,4.143056478405315,6.214086378737542,6.900431893687708,Education,United Kingdom,South America,Strategy & Policy,tech-innovations
727de8da,3.9489597315436242,4.582013422818792,2.9221476510067115,4.321610738255034,3.7293288590604026,4.142248322147651,4.401912751677853,3.7769127516778522,5.276241610738255,5.17010067114094,4.236342281879195,3.9207046979865767,4.933724832214765,4.253456375838926,3.2811073825503354,4.096476510067114,3.2171140939597316,2.6381208053691276,5.484429530201342,4.451442953020134,5.12258389261745,3.8842953020134225,3.22996644295302,4.956644295302013,4.266845637583892,4.1495973154362416,3.709194630872483,4.550570469798657,4.22486577181208,4.043959731543624,5.9705033557046985,6.913859060402684,Education,United Kingdom,South America,Strategy & Policy,tech-innovations
75bec41c,4.19844696969697,4.564128787878788,2.8918939393939396,4.095681818181818,3.3656439393939395,4.263863636363637,4.181325757575757,3.6604924242424244,4.952272727272728,4.843560606060606,4.288106060606061,3.799810606060606,4.418181818181819,3.629848484848485,3.3126136363636363,4.050416666666666,3.0349242424242426,2.653257575757576,5.203333333333333,4.090340909090909,4.641022727272727,4.040227272727273,3.0843560606060607,4.668257575757576,4.3118181818181816,3.9941666666666666,3.4895454545454547,4.003636363636364,4.294318181818182,3.9140151515151516,5.7509848484848485,6.806590909090909,Financial Services,Netherlands,Europe,Leadership,global-solutions
7825ec1c,3.945191082802548,4.361528662420382,2.9590127388535032,4.269490445859872,3.575796178343949,4.246464968152867,4.224585987261147,3.7078980891719744,5.1622611464968156,4.885891719745223,4.345095541401274,3.9257006369426755,4.8183439490445865,4.050923566878981,3.374904458598726,4.149649681528662,3.105828025477707,2.670286624203822,5.614999999999999,4.356114649681529,5.010955414012739,3.89452229299363,3.1488535031847134,4.8564331210191085,4.1996815286624205,4.099968152866242,3.7185031847133754,4.3011783439490445,4.256019108280255,4.0354458598726115,5.791433121019108,7.0962738853503184,Education,United Kingdom,South America,Strategy & Policy,tech-innovations
794f3cc7,4.07768456375839,4.674597315436242,2.8968456375838927,4.51251677852349,3.794496644295302,4.223557046979866,4.5611409395973155,3.966308724832215,5.383288590604027,5.217986577181208,4.379093959731544,3.9409060402684566,5.053020134228188,4.193322147651006,3.3393624161073827,4.571912751677853,3.286510067114094,2.6433557046979868,5.491308724832215,4.636208053691275,5.110536912751678,3.88751677852349,3.216208053691275,4.771409395973154,4.54503355704698,4.123322147651007,3.8639597315436243,4.43006711409396,4.536744966442953,3.9929194630872487,6.001208053691275,6.9408389261744965,Manufacturing,France,Asia,IT & Data,global-solutions
